title,link,description,pubDate
IMF “한국 올해 1.0% 성장”…<b>관세</b> 충격 가장 커,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8235496&ref=A,"미국이 <b>상호관세</b>를 부과하기 전, 부과한 이후, 중국에만 <b>상호관세</b>를 유지한 상황에 따라 성장률 전망을 따로 계산했습니다. 눈에 띄는 점은 미국이 <b>상호관세</b>를 유예한 긍정적 효과가 미·중 간의 극단적 갈등이 불러올... ",2025-04-23 12:06:00+09:00
美 바이오클러스터 찾은 김병환 &quot;첨단전략기금 활용해 투자 활성화&quot;,https://news.einfomax.co.kr/news/articleView.html?idxno=4352542,"김 위원장과 슈워츠먼 회장은 미국 <b>상호관세</b>와 이에 대한 대응으로 경기위축 우려가 대두, 글로벌 금융시장에 큰 영향을 미치고 있다는 데 공감대를 형성했다. 특히, 김 위원장은 국내 정치 불확실성 속에서도 한국... ",2025-04-23 12:06:00+09:00
[오후 뉴스브리핑] BTC 현물 ETF 1.3조원 순유입...트럼프 취임 이후 최...,https://www.tokenpost.kr/news/briefing/240560,"그는 &quot;트럼프 행정부의 지난 4월 2일 <b>상호관세</b> 발표는 글로벌 금융시장의 불안정성을 시험하는 계기였으며, 시장은 큰 충격을 입었다. 미국 증시는 물론 국채시장 변동성도 급격히 증가했다. 현재 일각에서는... ",2025-04-23 12:04:00+09:00
안덕근 산업장관 방미 “신중하게 준비…윈윈 협의할 것”,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8235495&ref=A,"[안덕근/산업통상자원부 장관 : &quot;양국이 향후에 이 협력을 이어 나갈 수 있는 상호 '윈(Win)-윈(Win)'할 수 있는 협의의 토대를 구축하고자 합니다.&quot;] 정부는 협의를 통해 한국에 대한 기본 관세와 <b>상호 관세</b>, 품목별 관세를... ",2025-04-23 12:04:00+09:00
"김병환 금융위원장, ‘K-금융’ 수출 지원…보스턴·뉴욕 방문",http://www.joseilbo.com/news/news_read.php?uid=541733&class=18&grp=,김 위원장과 슈워츠먼 회장은 우선 미국 <b>상호관세</b> 부과와 상대국가들의 대응으로 인한 인플레이션과 경기위축 우려 등이 글로벌 금융시장에 큰 영향을 미치고 있으며 앞으로도 불확실성이 지속될 수 있다는 점에... ,2025-04-23 12:03:00+09:00
‘미국·중국’ 38% · ‘반도체·자동차·석유’ 48% 쏠린 수출… 변동...,https://www.munhwa.com/article/11500992?ref=naver,여기에 더해 한국의 주요 해외 생산기지로 급부상한 베트남까지 미국의 <b>상호관세</b> 타깃이 되면서 이런 우려는 더욱 가중되고 있다. 베트남까지 합칠 경우 한국 수출의 미·중·베트남 비중은 지난해 기준 46.7%까지... ,2025-04-23 12:03:00+09:00
"김소영 “지속가능성 공시기준, 국제적 흐름 고려 결정”",http://www.joseilbo.com/news/news_read.php?uid=541731&class=18&grp=,다만 최근 <b>상호관세</b> 등 경제 전반의 불확실성이 상존하고 주요국에서 공시수준 조정 움직임이 있는 만큼 관계기관과 함께 주요국 동향 변화를 면밀히 파악하는 한편 기업의 준비상황 등도 충분히 감안해 원활한... ,2025-04-23 12:02:00+09:00
"최상목, 워싱턴 도착…“미국 관심 경청하고 한국 입장 설명”",https://news.kbs.co.kr/news/pc/view/view.do?ncd=8235494&ref=A,<b>상호 관세</b>에 대한 국가별 맞춤 협의가 진행 중인 가운데 한국 역시 미국과 고위급 수준에서 본격적인 협상을 시작하는 겁니다. [최상목/경제부총리 : &quot;한미 동맹을 더욱 튼튼하게 하기 위한 논의를 시작하러 왔습니다. 논의... ,2025-04-23 12:02:00+09:00
김소영 부위원장 &quot;지속가능성 최초 공시 시행 시기 논의 필요&quot;,https://www.etoday.co.kr/news/view/2464608,김 부위원장은 &quot;많은 투자자가 기후 리스크 관리 차원에서 지속가능성 공시 정보를 요구하고 있어 국내 자본시장에서도 주요국과 마찬가지로 지속가능성 공시가 필요한 상황&quot;이라며 &quot;다만 최근 <b>상호관세</b> 등 경제 전반의... ,2025-04-23 12:02:00+09:00
"금융위 “스코프3 공시, 충분한 유예기간 부여”",http://www.fnnews.com/news/202504231145480125,그는 “많은 투자자들이 기후 리스크 관리 차원에서 지속가능성 공시 정보를 요구하고 있다”며 “다만 최근 <b>상호관세</b> 등 경제 전반의 불확실성이 상존하고 주요국에서 공시수준 조정 움직임이 있는 만큼 관계기관과... ,2025-04-23 12:01:00+09:00
